,Wavelength,Thymine,Guanine,Adenine,Cytosine,Mean Absorption Coefficient,Absorption Coefficient Std Dev
28,238,1.5769529983311588e-05,6.0768337980010046e-05,3.388378758392818e-05,4.231669788600482e-05,3.818458835831366e-05,1.869074463810019e-05
29,239,1.6163639438954624e-05,6.279850203541722e-05,3.610783043088963e-05,4.130394458364756e-05,3.909347912222726e-05,1.9161644978790867e-05
30,240,1.6760259802048702e-05,6.439583707498743e-05,3.943066503193783e-05,4.042296121504042e-05,4.0252430781003595e-05,1.9454995454090957e-05
31,241,1.7573919028997932e-05,6.531203671083241e-05,4.230835771759333e-05,3.961243132035211e-05,4.1201686194443945e-05,1.9522045966570008e-05
32,242,1.892820135574475e-05,6.637832830514626e-05,4.59800805763952e-05,3.8906777655652536e-05,4.254834697323468e-05,1.9585854690639195e-05
33,243,2.0381368658666244e-05,6.714475532711488e-05,4.9266372122140616e-05,3.8513126496924855e-05,4.3826405651211654e-05,1.958944751446323e-05
34,244,2.2038085583799618e-05,6.758634502960578e-05,5.28703424063447e-05,3.809326878633808e-05,4.5147010451522047e-05,1.955293049487946e-05
35,245,2.38279828022909e-05,6.785761229369381e-05,5.691778787593925e-05,3.76933424300661e-05,4.657418135049751e-05,1.9631891375956393e-05
36,246,2.5792583480316387e-05,6.79589243656603e-05,6.03667939381696e-05,3.743141513168515e-05,4.788742922895786e-05,1.9630842230419074e-05
37,247,2.7851137497478e-05,6.773179052425397e-05,6.407743494252783e-05,3.732180650497481e-05,4.924554236730865e-05,1.9677588308631267e-05
38,248,2.975814152564608e-05,6.750465668284765e-05,6.765257079769028e-05,3.735846557628735e-05,5.0568458645617844e-05,1.988529530001508e-05
39,249,3.186836031178271e-05,6.691147410230318e-05,7.090394434988525e-05,3.768197765722517e-05,5.184143910529907e-05,1.9915649508215964e-05
40,250,3.3880607387862974e-05,6.617937662402697e-05,7.424210691434832e-05,3.7959416334753856e-05,5.3065376815248025e-05,2.013848975382691e-05
41,251,3.594700679586886e-05,6.480068618211281e-05,7.714813996265185e-05,3.831700737641331e-05,5.405321007926171e-05,2.0201870389848742e-05
42,252,3.834597423527723e-05,6.312803904281435e-05,8.046805778619596e-05,3.912350694528911e-05,5.526639450239416e-05,2.0361914839942733e-05
43,253,4.065144757794033e-05,6.106810674897752e-05,8.344754600674825e-05,4.020334465879021e-05,5.634261124811408e-05,2.0523939999944307e-05
44,254,4.304746821200709e-05,5.874737637127636e-05,8.730981777307529e-05,4.15014474420415e-05,5.765152744960006e-05,2.125181325782462e-05
45,255,4.5377453617283895e-05,5.625191127738605e-05,8.98096627671851e-05,4.285932278731557e-05,5.857458761229266e-05,2.1619116845128002e-05
46,256,4.749357239247014e-05,5.326540064844839e-05,9.2503515133575e-05,4.40463579527486e-05,5.932721153181054e-05,2.2442163986916507e-05
47,257,4.983516642485003e-05,5.094794887523003e-05,9.47771729611439e-05,4.542717785292042e-05,6.02468665285361e-05,2.3143311512861417e-05
48,258,5.168237326670441e-05,4.8631391266870685e-05,9.62882422865402e-05,4.677617254968739e-05,6.084454484245067e-05,2.371554550444401e-05
49,259,5.32217601393321e-05,4.679537275646583e-05,9.70274370426076e-05,4.7836287007079074e-05,6.122021423637114e-05,2.403704108826821e-05
50,260,5.47123525079278e-05,4.553534544270996e-05,9.70286870901094e-05,4.856228866129856e-05,6.145966842551143e-05,2.401810308980223e-05
51,261,5.58911192931096e-05,4.4736409141226175e-05,9.614448682383264e-05,4.937845135864938e-05,6.153761665420446e-05,2.3520517780334835e-05
52,262,5.689087780119417e-05,4.450833323327201e-05,9.416024475596736e-05,5.0218613337425206e-05,6.144451728196469e-05,2.2389802040045406e-05
53,263,5.770453702814339e-05,4.435728324102571e-05,9.183473972010936e-05,5.088888566611338e-05,6.119636141384796e-05,2.114002264882692e-05
54,264,5.837353490196247e-05,4.45038624089772e-05,8.879337414821755e-05,5.155669129566518e-05,6.08068656887056e-05,1.9498028932112957e-05
55,265,5.880694490836429e-05,4.494615466957156e-05,8.544283016087946e-05,5.221683101971128e-05,6.0353190189631645e-05,1.7658406802568742e-05
56,266,5.915845668839086e-05,4.540377547060535e-05,8.191498776953541e-05,5.253363174155251e-05,5.975271291752103e-05,1.5806398556310575e-05
57,267,5.91092316446174e-05,4.5861396271639085e-05,7.745994347785227e-05,5.264661081492761e-05,5.876929555225909e-05,1.35837771950803e-05
58,268,5.879144547767178e-05,4.625921253989803e-05,7.35237939041683e-05,5.25310253033025e-05,5.777636930626015e-05,1.1678617138327279e-05
59,269,5.817429067716516e-05,4.665067639100755e-05,6.878605136995197e-05,5.23255510879273e-05,5.648414238151299e-05,9.454884116241114e-06
60,270,5.720653301386389e-05,4.705123430517131e-05,6.488371558119203e-05,5.164736375357436e-05,5.51972116634504e-05,7.67732804523593e-06
61,271,5.609093278712063e-05,4.745179221933505e-05,6.088906378442392e-05,5.070304327730068e-05,5.378370801704507e-05,5.927141515341894e-06
62,272,5.377498776119033e-05,4.776692545500854e-05,5.61383832585639e-05,4.928524947089305e-05,5.174138648641395e-05,3.8857888211722324e-06
63,273,5.169634188942744e-05,4.8322407632273296e-05,5.107662841187959e-05,4.801892773736831e-05,4.977857641773716e-05,1.877902588349364e-06
64,274,4.922995511568976e-05,4.884120066413455e-05,4.643676459705464e-05,4.5812351505420814e-05,4.7580067970574944e-05,1.7072929222856406e-06
65,275,4.63069410813445e-05,4.929882146516829e-05,4.06027929061305e-05,4.3830517221606336e-05,4.5009768168562406e-05,3.6919145668322707e-06
