,Wavelength,Chymo.,Hem,HSA,hum. IgG,Lys,bov. IgG,Mean Absorption,Absorption Std Dev,Mean Absorption Coefficient,Absorption Coefficient Std Dev
27,222,0.2193934426229508,0.1981794650560831,0.1556196721311478,0.1669508196721313,0.3004945355191255,0.1652473919523099,0.20098088782562473,0.05429991597802876,11.787735356341624,3.1847458051629767
28,223,0.2124918032786885,0.1873357091945833,0.1453573770491805,0.1608524590163937,0.2900546448087428,0.1600327868852457,0.19268746337213907,0.053331329709566305,11.301317499832201,3.127937226367525
29,224,0.2028437158469944,0.1765331432644336,0.1356950819672132,0.1538875878220142,0.2754721311475411,0.1531311475409836,0.18292713459819668,0.0509197263102426,10.728864199307722,2.9864942117444335
30,225,0.1927868852459014,0.1657305773342839,0.1262122519413287,0.1445901639344262,0.2629508196721308,0.1462295081967214,0.17308336772079871,0.04949413091936891,10.151517168375289,2.902881578848616
31,226,0.183584699453552,0.1556229508196722,0.1174943917169974,0.1376885245901639,0.2491475409836067,0.1384704205274413,0.1636680880152389,0.04734976856517249,9.599301349867384,2.777112525816568
32,227,0.1741538461538462,0.1456539162112932,0.1087765314926661,0.1307868852459016,0.2353442622950821,0.1306685673556665,0.1542306681257426,0.04521232341007164,9.045786986847071,2.6517491736112397
33,228,0.1644459016393442,0.1364069431051108,0.1017540983606557,0.1238852459016394,0.2188852459016395,0.1230655737704918,0.14474050144648024,0.041731928173923925,8.489178970468048,2.447620420758001
34,229,0.1534032786885247,0.1274754098360655,0.0948524590163934,0.1166338797814209,0.2012604735883424,0.1161639344262297,0.1349649058894961,0.03765549064720204,7.915830257448451,2.208533175788976
35,230,0.1414754098360661,0.1152459016393441,0.0875081967213114,0.1074316939890714,0.183463114754098,0.1090260366441662,0.12402505893067621,0.0339065258756766,7.274197004731741,1.9886525440279528
36,231,0.1276721311475413,0.1055384615384615,0.0792262295081965,0.0982295081967214,0.1653278688524586,0.0992825458052075,0.11254612417476445,0.030182509433794087,6.600945699399674,1.7702351574072777
37,232,0.1108415300546445,0.0954863387978143,0.0709442622950817,0.0886803278688524,0.1474535519125681,0.0894262295081968,0.10047204007285963,0.0263537096540786,5.892788274068013,1.545672120473818
